schema_version,record_type,claim_id,chapter_section,status,evidence_ids,limitations,reviewer,review_date
1,claim-evidence,CLAIM-CTRL-03-PREP,Problem analysis / protocol governance,pending,PROTOCOL-ANALYSIS-V1|DECISION-LOG-V1|DEVIATION-LOG-V1,"The protocol and ledgers exist, but no enacted deviation has yet tested the full re-execution path; not ready for thesis promotion.",,
1,claim-evidence,CLAIM-CTRL-04-PLAN,Problem analysis / work plan,pending,WORK-PLAN-V1|EFFORT-LOG-V1,"The 330-hour allocation is planned only; actual effort and cost remain absent until supplied with evidence; not ready for thesis promotion.",,
1,claim-evidence,CLAIM-CTRL-05-PREP,Problem analysis / human gates,pending,TUTOR-EMAIL-DRAFT-V1|PHASE-01-HUMAN-GATES-V1,"Preparation does not establish completion of CTRL-05; no tutor answer or compatibility outcome is recorded.",,
1,claim-evidence,CLAIM-DELV-01-PREP,Academic delivery / eligibility,pending,PHASE-01-HUMAN-GATES-V1,"Preparation does not establish completion of DELV-01; every private and live administrative result remains pending outside Git.",,
1,claim-evidence,SOTA-INTERPOLATION-ROLE,State of the art / classical interpolation,reviewed,EVID-KEYS-1981,Supports cubic convolution as a transparent interpolation foundation but does not by itself justify the exact later baseline implementation or score-domain validity.,plan-01-11-primary-source-review,2026-08-18
1,claim-evidence,SOTA-CNN-FOUNDATION,State of the art / convolutional SR,reviewed,EVID-SRCNN-2015|EVID-EDSR-2017,Source-reported natural-image gains under synthetic degradation are context only and must not be transferred to SMB or used as a Phase 3 choice.,plan-01-11-primary-source-review,2026-08-18
1,claim-evidence,SOTA-PERCEPTION-DISTORTION,State of the art / evaluation and risk,reviewed,EVID-SRGAN-2017|EVID-BLAU-2018|EVID-ESRGAN-2018,Perceptual realism and distortion are distinct objectives; this does not quantify music-semantic risk and requires careful thesis wording.,plan-01-11-primary-source-review,2026-08-18
1,claim-evidence,SOTA-DIRECT-SCORE-EVIDENCE,State of the art / music-score SR,reviewed,EVID-SCORE-SR-2019|EVID-SMB-2025,Direct score-SR evidence exists but the focused search is not proof that it is unique; SMB supplies reported OMR context rather than audited SR evidence.,plan-01-11-primary-source-review,2026-08-18
1,claim-evidence,SOTA-DEGRADATION-BOUNDARY,State of the art / degradation modelling,reviewed,EVID-SWINIR-2021|EVID-REAL-ESRGAN-2021|EVID-DOCSCAN-SR-2025,Controlled synthetic and real-world degradation evidence answer different questions and cannot be pooled as equivalent validation.,plan-01-11-primary-source-review,2026-08-18
1,claim-evidence,SOTA-TRANSFORMER-PROGRESSION,State of the art / transformer SR,reviewed,EVID-SWINIR-2021|EVID-HAT-2023,Architecture progression on natural-image benchmarks does not select a model or checkpoint and must be refreshed against current implementation constraints in Phase 3.,plan-01-11-primary-source-review,2026-08-18
1,claim-evidence,SOTA-DOCUMENT-SCOPE,State of the art / document restoration,reviewed,EVID-DOCRES-2024|EVID-DOCSCAN-SR-2025|EVID-MMDIR-2026,Document restoration and OCR benefits motivate geometry and task checks but do not demonstrate preservation of musical notation.,plan-01-11-primary-source-review,2026-08-18
1,claim-evidence,SOTA-CURRENT-GENERATIVE-RISK,State of the art / current generative SR,reviewed,EVID-FIDESR-2026|EVID-TADSR-2026|EVID-TIGER-2026,Current papers report fidelity perceptual and readability improvements on their own domains; no score-semantic safety or executable suitability is established.,plan-01-11-primary-source-review,2026-08-18
