evidence_id,discovered_via,full_reference,year,source_type,doi_or_official_url,canonical_identity,duplicate_of,screening_status,screening_reason,verification_date,notes
EVID-KEYS-1981,Seed list and backward chasing,"Keys, R. G. (1981). Cubic Convolution Interpolation for Digital Image Processing.",1981,primary_paper,https://doi.org/10.1109/TASSP.1981.1163711,doi:10.1109/tassp.1981.1163711,not_applicable,included,Included: canonical classical interpolation foundation.,2026-08-18,Primary DOI and publisher metadata verified.
EVID-SRCNN-2015,Seed list and CNN query,"Dong, C., Loy, C. C., He, K., and Tang, X. (2015). Image Super-Resolution Using Deep Convolutional Networks.",2015,primary_paper,https://doi.org/10.1109/TPAMI.2015.2439281,doi:10.1109/tpami.2015.2439281,not_applicable,included,Included: archival CNN foundation with controlled bicubic evidence.,2026-08-18,Journal version retained over conference duplicate.
EVID-EDSR-2017,Seed list and CVF query,"Lim, B., Son, S., Kim, H., Nah, S., and Lee, K. M. (2017). Enhanced Deep Residual Networks for Single Image Super-Resolution.",2017,primary_paper,https://openaccess.thecvf.com/content_cvpr_2017_workshops/w12/html/Lim_Enhanced_Deep_Residual_CVPR_2017_paper.html,url:cvf:lim-enhanced-deep-residual-2017,not_applicable,included,Included: residual fidelity-oriented CNN evidence.,2026-08-18,CVF archival page and linked official repository verified.
EVID-SRGAN-2017,Seed list and CVF query,"Ledig, C., et al. (2017). Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network.",2017,primary_paper,https://openaccess.thecvf.com/content_cvpr_2017/html/Ledig_Photo-Realistic_Single_Image_CVPR_2017_paper.html,url:cvf:ledig-photo-realistic-2017,not_applicable,included,Included: landmark adversarial and perceptual SR evidence.,2026-08-18,CVF archival record verified.
EVID-BLAU-2018,Seed list and evaluation query,"Blau, Y., and Michaeli, T. (2018). The Perception-Distortion Tradeoff.",2018,primary_paper,https://openaccess.thecvf.com/content_cvpr_2018/html/Blau_The_Perception-Distortion_Tradeoff_CVPR_2018_paper.html,url:cvf:blau-perception-distortion-2018,not_applicable,included,Included: primary evaluation theory and trade-off evidence.,2026-08-18,CVF archival record and paper text verified.
EVID-ESRGAN-2018,Backward chase from Real-ESRGAN and CVF query,"Wang, X., et al. (2018). ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks.",2018,primary_paper,https://openaccess.thecvf.com/content_eccv_2018_workshops/w25/html/Wang_ESRGAN_Enhanced_Super-Resolution_Generative_Adversarial_Networks_ECCVW_2018_paper.html,url:cvf:wang-esrgan-2018,not_applicable,included,Included: hallucination/artifact and perceptual challenge evidence.,2026-08-18,CVF archival record and linked official repository verified.
EVID-SCORE-SR-2019,Exact title and DOI query,"Tran, M.-T., and Lee, G.-S. (2019). Super-resolution in Music Score Images by Instance Normalization.",2019,primary_paper,https://doi.org/10.30693/smj.2019.8.4.64,doi:10.30693/smj.2019.8.4.64,not_applicable,included,Included: direct music-score SR evidence.,2026-08-18,Publisher-indexed abstract verified; unavailable details remain not_reported.
EVID-SWINIR-2021,Seed list and CVF query,"Liang, J., et al. (2021). SwinIR: Image Restoration Using Swin Transformer.",2021,primary_paper,https://openaccess.thecvf.com/content/ICCV2021W/AIM/html/Liang_SwinIR_Image_Restoration_Using_Swin_Transformer_ICCVW_2021_paper.html,url:cvf:liang-swinir-2021,not_applicable,included,Included: transformer foundation across classical and real restoration.,2026-08-18,CVF archival page and official repository link verified.
EVID-REAL-ESRGAN-2021,Seed list and CVF query,"Wang, X., Xie, L., Dong, C., and Shan, Y. (2021). Real-ESRGAN: Training Real-World Blind Super-Resolution With Pure Synthetic Data.",2021,primary_paper,https://openaccess.thecvf.com/content/ICCV2021W/AIM/html/Wang_Real-ESRGAN_Training_Real-World_Blind_Super-Resolution_With_Pure_Synthetic_Data_ICCVW_2021_paper.html,url:cvf:wang-real-esrgan-2021,not_applicable,included,Included: high-order real-world degradation and perceptual-risk evidence.,2026-08-18,CVF archival page and official repository link verified.
EVID-HAT-2023,Forward chase from SwinIR and CVF query,"Chen, X., Wang, X., Zhou, J., Qiao, Y., and Dong, C. (2023). Activating More Pixels in Image Super-Resolution Transformer.",2023,primary_paper,https://openaccess.thecvf.com/content/CVPR2023/html/Chen_Activating_More_Pixels_in_Image_Super-Resolution_Transformer_CVPR_2023_paper.html,url:cvf:chen-hat-2023,not_applicable,included,Included: later transformer evidence without selecting a model.,2026-08-18,CVF archival page and official repository link verified.
