upstream_index,item_id,source_group_id,reason
2,smb-test-000002,mozart_sonata06_3k_right_hand,fewer than two staff sequences support the page scale
3,smb-test-000003,mozart_sonata09_2_right_hand,fewer than two staff sequences support the page scale
20,smb-test-000020,mozart_sonata11_3_left_hand,fewer than two staff sequences support the page scale
21,smb-test-000021,mozart_sonata11_1g_left_hand,fewer than two staff sequences support the page scale
25,smb-test-000025,mozart_rondo_in_f_fu-r_clavier_-_kv_533_114_left_hand,fewer than two staff sequences support the page scale
51,smb-test-000051,mozart_quartett_in_d_-_kv_575,fewer than two staff sequences support the page scale
53,smb-test-000053,mozart_sonata15_2_left_hand,fewer than two staff sequences support the page scale
57,smb-test-000057,mozart_sonata10_1_left_hand,fewer than two staff sequences support the page scale
62,smb-test-000062,mozart_sonate_in_f_-_kv_332_29_left_hand,fewer than two staff sequences support the page scale
84,smb-test-000084,joplin_reflection,fewer than two staff sequences support the page scale
119,smb-test-000119,mozart_sonate_in_c_-_kv_330_3_left_hand,fewer than two staff sequences support the page scale
129,smb-test-000129,mozart_sonata13_1_right_hand,fewer than two staff sequences support the page scale
130,smb-test-000130,mozart_sonata17_3_left_hand,fewer than two staff sequences support the page scale
131,smb-test-000131,mozart_sonata01_1_right_hand,fewer than two staff sequences support the page scale
132,smb-test-000132,mozart_sonata01_1_left_hand,fewer than two staff sequences support the page scale
133,smb-test-000133,mozart_viennese1_2_left_hand,fewer than two staff sequences support the page scale
142,smb-test-000142,mozart_sonata06_1_right_hand,fewer than two staff sequences support the page scale
143,smb-test-000143,mozart_sonata06_3k_left_hand,fewer than two staff sequences support the page scale
144,smb-test-000144,mozart_quartett_in_c_-_kv_157_41_right_hand,fewer than two staff sequences support the page scale
146,smb-test-000146,beethoven_sonata23_3,SMB region bounding box is outside the page
165,smb-test-000165,joplin_breeze,fewer than two staff sequences support the page scale
168,smb-test-000168,mozart_quartett_in_c_-_kv_157_45_right_hand,fewer than two staff sequences support the page scale
169,smb-test-000169,mozart_sonata16_1_right_hand,fewer than two staff sequences support the page scale
170,smb-test-000170,mozart_sonata16_1_left_hand,fewer than two staff sequences support the page scale
186,smb-test-000186,mozart_sonata11_1d_right_hand,fewer than two staff sequences support the page scale
187,smb-test-000187,mozart_sonata17_3_right_hand,fewer than two staff sequences support the page scale
188,smb-test-000188,mozart_sonata05_1_left_hand,fewer than two staff sequences support the page scale
189,smb-test-000189,mozart_sonata06_3m_right_hand,fewer than two staff sequences support the page scale
190,smb-test-000190,mozart_sonata07_1_left_hand,fewer than two staff sequences support the page scale
191,smb-test-000191,mozart_sonate_in_f_-_kv_332_32_left_hand,fewer than two staff sequences support the page scale
194,smb-test-000194,mozart_quartett_in_c_-_kv_157_42_right_hand,fewer than two staff sequences support the page scale
206,smb-test-000206,mozart_sonate_in_a_-_kv_310_123_right_hand,fewer than two staff sequences support the page scale
207,smb-test-000207,mozart_quartett_in_c_-_kv_157_44_right_hand,fewer than two staff sequences support the page scale
212,smb-test-000212,mozart_sonata14_3_left_hand,fewer than two staff sequences support the page scale
213,smb-test-000213,mozart_divertimento_in_f_-_kv_138_31_right_hand,fewer than two staff sequences support the page scale
239,smb-test-000239,mozart_sonata06_2_right_hand,fewer than two staff sequences support the page scale
240,smb-test-000240,mozart_sonate_in_f_-_kv_332_28_right_hand,fewer than two staff sequences support the page scale
247,smb-test-000247,mozart_erk035_left_hand,fewer than two staff sequences support the page scale
256,smb-test-000256,mozart_sonata06_2_left_hand,fewer than two staff sequences support the page scale
257,smb-test-000257,mozart_sonata07_1_right_hand,fewer than two staff sequences support the page scale
258,smb-test-000258,mozart_quartett_in_g_-_kv_387_7_left_hand,fewer than two staff sequences support the page scale
259,smb-test-000259,mozart_sonata02_3_right_hand,fewer than two staff sequences support the page scale
260,smb-test-000260,mozart_sonata01_2_left_hand,fewer than two staff sequences support the page scale
261,smb-test-000261,mozart_divertimento_in_f_-_kv_138_32_right_hand,fewer than two staff sequences support the page scale
262,smb-test-000262,mozart_erk008_right_hand,fewer than two staff sequences support the page scale
265,smb-test-000265,hummel_prelude67_13,fewer than two staff sequences support the page scale
266,smb-test-000266,mozart_divertimento_in_f_-_kv_138_33_right_hand,fewer than two staff sequences support the page scale
272,smb-test-000272,mozart_sonata11_1b,fewer than two staff sequences support the page scale
285,smb-test-000285,mozart_sonata09_1_left_hand,fewer than two staff sequences support the page scale
286,smb-test-000286,mozart_divertimento_in_f_-_kv_138_34_right_hand,fewer than two staff sequences support the page scale
287,smb-test-000287,mozart_sonata17_1_left_hand,fewer than two staff sequences support the page scale
288,smb-test-000288,mozart_quintett_in_es_-_kv_407_3_right_hand,fewer than two staff sequences support the page scale
303,smb-test-000303,mozart_sonata09_3,fewer than two staff sequences support the page scale
304,smb-test-000304,mozart_sonata09_3,fewer than two staff sequences support the page scale
306,smb-test-000306,mozart_sonata09_3,fewer than two staff sequences support the page scale
307,smb-test-000307,mozart_sonata09_3,fewer than two staff sequences support the page scale
308,smb-test-000308,mozart_sonate_in_f_-_kv_332_32_right_hand,fewer than two staff sequences support the page scale
310,smb-test-000310,mozart_quartett_in_c_-_kv_157_43_right_hand,fewer than two staff sequences support the page scale
311,smb-test-000311,mozart_quartett_in_c_-_kv_157_46_right_hand,fewer than two staff sequences support the page scale
312,smb-test-000312,mozart_sonate_in_f_-_kv_332_29_right_hand,fewer than two staff sequences support the page scale
313,smb-test-000313,mozart_sonata12_3_left_hand,fewer than two staff sequences support the page scale
318,smb-test-000318,mozart_sonata16_2_right_hand,fewer than two staff sequences support the page scale
319,smb-test-000319,mozart_sonate_in_f_-_kv_332_33_right_hand,fewer than two staff sequences support the page scale
320,smb-test-000320,hummel_prelude67_14,fewer than two staff sequences support the page scale
329,smb-test-000329,mozart_sonata11_1e_right_hand,fewer than two staff sequences support the page scale
344,smb-test-000344,mozart_viennese1_4_left_hand,fewer than two staff sequences support the page scale
345,smb-test-000345,mozart_sonata13_2_left_hand,fewer than two staff sequences support the page scale
346,smb-test-000346,mozart_sonata10_3_right_hand,fewer than two staff sequences support the page scale
350,smb-test-000350,mozart_sonata12_2_right_hand,fewer than two staff sequences support the page scale
351,smb-test-000351,mozart_sonata13_3_left_hand,fewer than two staff sequences support the page scale
352,smb-test-000352,mozart_rondo_in_f_fu-r_clavier_-_kv_533_121_right_hand,fewer than two staff sequences support the page scale
353,smb-test-000353,mozart_sonata12_2_left_hand,fewer than two staff sequences support the page scale
